省份编码,省份,年份,所属区域,推荐建模样本标记,基准因变量,稳健性因变量_住院率,稳健性因变量_两周就诊率,PM2.5,PM10,SO2,NO2,O3,CO,ln_常住人口,ln_人均GDP,常住人口_万人,人均GDP_元,地区生产总值_亿元,城镇化率,第二产业占比,医疗卫生机构数_个,医院数_个,城镇人口_万人,第二产业增加值_亿元,污染覆盖月份数,污染数据是否完整年
1,上海,2018,东部,1,18.7,14.8,46.0,36.25,51.08333333333334,10.08333333333333,42.25,151.75,1.016666666666667,7.813995675002791,11.935591283960727,2475,152602.4242424243,37769.1,0.8913131313131313,0.2743194833872133,5293,358.0,2206,10360.8,12,是
2,云南,2018,西部,1,35.4,25.6,71.7,30.08333333333333,55.25,13.16666666666667,34.33333333333334,110.5,1.083333333333333,8.455955881945048,10.726814912804173,4703,45561.34382309164,21427.5,0.4743780565596428,0.3391669583479174,24954,1280.0,2231,7267.5,12,是
3,内蒙古,2018,西部,1,35.4,25.6,71.7,36.83333333333334,89.41666666666667,19.91666666666667,41.25,121.0,21.025,7.792348924113037,11.114018081237123,2422,67105.28488852188,16252.9,0.6552436003303055,0.3898012047080828,24610,818.0,1587,6335.4,12,是
4,北京,2018,东部,1,18.7,14.8,46.0,50.83333333333334,78.08333333333333,6.0,42.08333333333334,148.1666666666667,1.591666666666667,7.692569648067906,11.985474892889647,2192,160407.8467153285,35161.4,0.8708941605839416,0.1557787801395849,10058,648.0,1909,5477.4,12,是
5,吉林,2018,中部,1,21.6,15.7,38.7,33.41666666666666,62.91666666666666,16.0,35.41666666666666,110.5833333333333,1.208333333333333,7.81762544305337,10.73735889529897,2484,46044.28341384863,11437.4,0.6086956521739131,0.3542326053123962,22691,780.0,1512,4051.5,12,是
6,四川,2018,西部,1,35.4,25.6,71.7,51.41666666666666,81.75,9.5,48.0,139.4166666666667,1.225,9.02653771890043,10.865215020214226,8321,52324.23987501502,43539.0,0.535031847133758,0.3687934954868049,81537,2344.0,4452,16056.9,12,是
7,天津,2018,东部,1,18.7,14.8,46.0,52.08333333333334,82.91666666666667,12.08333333333333,46.83333333333334,155.1666666666667,1.683333333333333,7.232010331664759,11.48216804156007,1383,96971.0773680405,13411.1,0.8394793926247288,0.3605446234835323,5686,420.0,1161,4835.3,12,是
8,宁夏,2018,西部,1,35.4,25.6,71.7,39.25,89.66666666666667,27.08333333333333,36.66666666666666,134.25,1.575,6.565264970035361,10.828361065057994,710,50430.98591549296,3580.6,0.6211267605633802,0.4156007373065966,4450,231.0,441,1488.1,12,是
9,安徽,2018,中部,1,21.6,15.7,38.7,48.25,72.66666666666667,7.083333333333333,42.75,142.0,1.191666666666667,8.712101863715663,10.943390250081988,6076,56578.83475971033,34377.3,0.5564516129032258,0.4099914769339069,24925,1140.0,3381,14094.4,12,是
10,山东,2018,东部,1,18.7,14.8,46.0,52.83333333333334,111.0833333333333,17.66666666666667,47.16666666666666,164.3333333333333,1.425,9.218010878280403,11.117596369307204,10077,67345.83705467897,67864.4,0.6145678277265059,0.4055690465103943,81470,2580.0,6193,27523.7,12,是
11,山西,2018,中部,1,21.6,15.7,38.7,59.58333333333334,135.5833333333333,29.41666666666667,51.41666666666666,147.4166666666667,1.591666666666667,8.161089512845797,10.73911811982545,3502,46125.35693889206,16153.1,0.5985151342090235,0.4379654679287567,42079,1368.0,2096,7074.5,12,是
